#Measurements from DVL
#Number of channels: 8
#Number of samples: 2283
#Frequency: 200.000 Hz
#Unit system: SI

#Time	Velocity X	Velocity Y	Velocity Z	Altitude	Water velocity X	Water velocity Y	Water velocity Z	Status
0.00000	-0.01216	-0.02137	0.01505	9.03086	-0.01490	-0.00326	-0.02614	0.00000
0.00000	-0.00228	-0.01302	-0.02106	9.06376	0.03801	0.03250	-0.01051	0.00000
0.00500	-0.03196	-0.03270	-0.00906	9.06500	0.00630	0.01058	0.01578	0.00000
0.01000	-0.01541	-0.04851	-0.01049	9.06352	0.00153	0.01031	-0.00907	0.00000
0.01500	0.00858	-0.02366	-0.00162	8.99665	-0.01013	0.01203	0.00921	0.00000
0.02000	-0.00982	0.01001	0.01451	9.05153	0.05000	-0.00624	0.00658	0.00000
0.02500	0.02576	-0.00461	-0.00770	9.10499	0.01117	-0.01003	0.01302	0.00000
0.03000	0.02219	-0.03346	0.01986	9.03233	0.03544	0.01747	-0.02510	0.00000
0.03500	0.00558	-0.03402	0.00694	9.15195	0.00525	-0.01408	0.02606	0.00000
0.04000	-0.02762	-0.04262	0.01378	9.13763	-0.00686	0.00010	-0.00359	0.00000
0.04500	0.01521	-0.04521	0.01874	9.11605	0.02600	-0.00003	0.00256	0.00000
0.05000	0.04225	-0.02390	-0.00517	9.01242	-0.01435	-0.00035	-0.03212	0.00000
0.05500	0.04510	0.00161	-0.01921	9.11701	-0.00200	-0.00620	-0.00918	0.00000
0.06000	0.05000	0.01009	-0.04055	9.07990	0.02250	0.04307	0.01231	0.00000
0.06500	0.02073	-0.00866	0.00316	9.07021	-0.00942	-0.01227	0.01591	0.00000
0.07000	0.02242	-0.04046	-0.00336	9.06809	-0.00677	0.02593	0.00803	0.00000
0.07500	0.03680	-0.00346	0.00981	9.01328	-0.00053	-0.01845	-0.01892	0.00000
0.08000	0.01429	0.02220	0.01596	9.10013	0.03895	0.02021	-0.00853	0.00000
0.08500	0.00709	0.00571	0.04804	9.05078	-0.01239	-0.00138	-0.00026	0.00000
0.09000	0.00268	-0.04449	0.00051	9.05954	0.00049	0.00487	-0.01803	0.00000
0.09500	0.04855	-0.04261	0.00887	9.14073	0.02148	0.00280	-0.00948	0.00000
0.10000	0.03698	-0.03280	0.02048	9.07567	-0.01247	0.01601	0.00906	0.00000
0.10500	0.00098	-0.00606	0.00002	9.05345	0.01072	0.00621	-0.00175	0.00000
0.11000	0.02296	-0.02740	0.06140	9.17531	-0.01757	0.00908	0.00995	0.00000
0.11500	0.04249	-0.01080	0.01084	9.04069	-0.00581	0.00202	0.00605	0.00000
0.12000	0.02149	0.01845	0.01740	9.00668	0.00035	-0.01143	0.00305	0.00000
0.12500	0.02931	-0.03626	0.00414	8.96495	0.02561	-0.02607	0.02699	0.00000
0.13000	0.03969	-0.01584	0.03015	8.97758	0.02463	0.00276	-0.02072	0.00000
0.13500	0.05000	0.00705	0.01354	9.08619	-0.01536	0.00497	-0.01719	0.00000
0.14000	0.00253	-0.05000	0.00104	9.06797	-0.01115	-0.00663	0.00313	0.00000
0.14500	0.05000	-0.05000	0.02690	9.03527	0.02195	0.01995	-0.01774	0.00000
0.15000	0.03717	0.00587	0.01827	9.04685	0.00970	-0.02100	-0.00540	0.00000
0.15500	0.02446	-0.04821	0.02151	9.04202	-0.02329	0.02152	0.00507	0.00000
0.16000	0.05000	-0.03818	0.01749	9.07304	0.01595	-0.03676	-0.05033	0.00000
0.16500	0.05000	-0.03793	0.00859	9.08108	0.00655	-0.02638	-0.02244	0.00000
0.17000	0.05000	-0.01297	0.05269	8.99541	-0.00605	0.00703	-0.00156	0.00000
0.17500	0.03090	-0.05000	-0.00108	9.00246	0.01935	-0.00981	-0.01472	0.00000
0.18000	0.02714	-0.03594	0.00968	9.02487	-0.00430	-0.00262	0.00298	0.00000
0.18500	0.05000	-0.05000	0.01752	9.03465	-0.00154	-0.04110	-0.01238	0.00000
0.19000	0.03829	-0.04722	0.00818	9.04911	0.04286	0.02333	0.00320	0.00000
0.19500	0.04697	-0.05000	0.06424	9.15600	-0.01969	-0.00127	0.03930	0.00000
0.20000	0.05000	-0.05000	0.01825	9.06660	-0.00294	-0.00667	0.01093	0.00000
0.20500	0.05000	-0.04476	0.00722	9.03147	0.02755	-0.01716	0.03395	0.00000
0.21000	0.05000	-0.05000	0.00473	9.02149	0.00788	0.01810	-0.02864	0.00000
0.21500	0.05000	-0.05000	0.05886	9.06510	-0.02041	-0.00256	-0.02423	0.00000
0.22000	0.05000	-0.05000	0.01954	9.01613	-0.01707	0.02260	-0.01756	0.00000
0.22500	0.05000	-0.05000	0.03189	9.05230	0.02505	0.01809	-0.03094	0.00000
0.23000	0.05000	-0.05000	0.03341	9.01313	0.01894	0.00645	-0.00179	0.00000
0.23500	0.05000	-0.05000	0.02772	9.01428	0.03850	0.00928	0.02921	0.00000
0.24000	0.05000	-0.05000	0.00401	9.02241	0.00402	0.00180	-0.01322	0.00000
0.24500	0.05000	-0.05000	0.00855	9.00845	-0.00011	0.00373	0.01704	0.00000
0.25000	0.05000	-0.05000	0.00953	9.06957	-0.02282	0.02266	-0.01029	0.00000
0.25500	0.05000	-0.05000	0.04403	8.90921	0.01734	-0.02286	0.00046	0.00000
0.26000	0.05000	-0.05000	0.00620	9.01914	0.03011	-0.01059	0.02053	0.00000
0.26500	0.05000	-0.05000	-0.00061	9.14801	0.03734	-0.00797	0.00135	0.00000
0.27000	0.05000	-0.05000	0.01536	8.94885	0.02064	0.03921	-0.00169	0.00000
0.27500	0.05000	-0.05000	0.00540	9.07966	-0.02169	-0.03193	-0.02206	0.00000
0.28000	0.05000	-0.05000	-0.01615	8.91566	0.01180	0.02346	0.00850	0.00000
0.28500	0.05000	-0.05000	-0.00041	9.00867	-0.00793	-0.05000	0.00260	0.00000
0.29000	0.05000	-0.05000	0.00390	8.99518	-0.01639	-0.02112	-0.01497	0.00000
0.29500	0.05000	-0.05000	-0.00439	8.94134	0.03409	-0.00114	0.00930	0.00000
0.30000	0.05000	-0.05000	-0.01049	8.98444	-0.01626	0.00139	-0.00217	0.00000
0.30500	0.05000	-0.05000	0.04796	8.93245	0.00378	0.02754	-0.00083	0.00000
0.31000	0.05000	-0.05000	0.03030	8.97204	-0.01235	-0.00119	0.00972	0.00000
0.31500	0.05000	-0.05000	0.02542	9.02170	-0.00945	-0.00684	-0.02937	0.00000
0.32000	0.05000	-0.05000	0.03565	9.02422	-0.00631	0.02449	0.02133	0.00000
0.32500	0.05000	-0.05000	0.05027	8.98184	-0.00852	-0.02690	-0.02874	0.00000
0.33000	0.05000	-0.05000	-0.01739	8.98916	-0.00263	0.01745	-0.01966	0.00000
0.33500	0.05000	-0.05000	-0.04200	9.01163	0.00818	-0.00565	0.00787	0.00000
0.34000	0.05000	-0.05000	0.03413	8.93049	-0.01042	0.02838	0.00520	0.00000
0.34500	0.05000	-0.05000	0.05178	9.03813	0.01888	0.01589	0.00457	0.00000
0.35000	0.05000	-0.05000	0.01461	9.01545	-0.00251	0.01974	0.02002	0.00000
0.35500	0.05000	-0.05000	0.02340	8.94205	0.00551	-0.00944	0.01003	0.00000
0.36000	0.05000	-0.05000	0.03170	9.05662	-0.01528	-0.00684	-0.01666	0.00000
0.36500	0.05000	-0.05000	-0.02026	8.99703	-0.01970	-0.03897	0.00421	0.00000
0.37000	0.05000	-0.05000	0.04362	8.93383	0.03170	0.00195	-0.01380	0.00000
0.37500	0.05000	-0.05000	0.04038	8.90560	0.02640	-0.01948	0.04165	0.00000
0.38000	0.05000	-0.05000	0.04056	9.02461	0.01500	0.01688	0.00886	0.00000
0.38500	0.05000	-0.05000	0.05585	9.00134	-0.04027	0.01898	-0.00372	0.00000
0.39000	0.05000	-0.05000	0.00064	8.95009	-0.01806	0.01848	0.01169	0.00000
0.39500	0.05000	-0.05000	0.00927	9.05312	-0.02040	0.00424	-0.01977	0.00000
0.40000	0.05000	-0.05000	-0.01588	8.99000	0.02947	0.01232	0.01196	0.00000
0.40500	0.05000	-0.05000	0.04526	8.95361	-0.00006	-0.05000	0.00894	0.00000
0.41000	0.05000	-0.05000	0.01423	8.97281	0.01119	0.02207	0.00617	0.00000
0.41500	0.05000	-0.05000	0.06746	8.95292	-0.00133	-0.00316	0.02687	0.00000
0.42000	0.05000	-0.05000	0.06243	8.97555	0.00297	-0.00855	-0.01365	0.00000
0.42500	0.05000	-0.05000	0.04794	9.01140	0.03645	0.02455	0.01254	0.00000
0.43000	0.05000	-0.05000	0.03776	8.88724	-0.01672	-0.02156	0.04038	0.00000
0.43500	0.05000	-0.05000	0.03031	8.98512	-0.00270	0.03675	0.01105	0.00000
