#Measurements from IMU
#Number of channels: 9
#Number of samples: 2283
#Frequency: 200.000 Hz
#Unit system: SI

#Time	Roll	Pitch	Yaw	Angular velocity X	Angular velocity Y	Angular velocity Z	Linear acceleration X	Linear acceleration Y	Linear acceleration Z
0.000	0.000	0.000	0.000	-0.007	0.008	-0.041	-0.010	0.007	-0.500
0.000	-0.000	0.000	-0.000	0.031	0.037	-0.022	0.104	0.020	-0.500
0.005	-0.000	0.000	-0.000	0.001	0.025	0.076	0.069	0.012	-0.500
0.010	-0.000	0.000	-0.000	0.003	0.069	-0.099	0.098	-0.004	-0.500
0.015	-0.000	0.000	-0.000	-0.004	-0.045	0.054	0.070	-0.020	-0.500
0.020	-0.000	0.000	-0.000	0.006	-0.014	-0.141	0.067	-0.004	-0.500
0.025	-0.000	0.000	-0.000	-0.084	-0.059	0.047	0.070	-0.020	-0.500
0.030	-0.000	0.000	-0.000	-0.106	0.055	-0.026	0.092	0.000	-0.500
0.035	-0.000	0.000	-0.000	-0.054	0.075	0.014	0.088	-0.010	-0.500
0.040	-0.000	0.000	-0.000	0.022	-0.090	0.080	0.086	-0.010	-0.500
0.045	-0.000	0.000	-0.000	-0.024	0.034	0.025	0.058	-0.003	-0.500
0.050	-0.000	0.001	-0.000	-0.059	0.004	0.054	0.072	-0.012	-0.500
0.055	-0.000	0.001	-0.000	0.029	-0.007	0.148	0.080	-0.015	-0.500
0.060	-0.000	0.001	-0.000	0.025	0.014	-0.058	0.080	0.002	-0.500
0.065	-0.000	0.001	-0.000	0.010	0.100	-0.014	0.072	-0.008	-0.500
0.070	-0.000	0.001	-0.000	0.014	0.075	0.033	0.082	-0.010	-0.500
0.075	-0.000	0.001	-0.000	0.104	-0.035	0.051	0.100	-0.008	-0.500
0.080	-0.000	0.001	-0.000	-0.053	0.017	-0.015	0.084	-0.000	-0.500
0.085	-0.000	0.001	-0.000	0.062	0.077	-0.069	0.084	-0.007	-0.500
0.090	-0.000	0.002	-0.000	0.017	-0.051	-0.027	0.083	0.008	-0.500
0.095	-0.000	0.002	-0.000	0.011	0.016	-0.054	0.112	0.005	-0.500
0.100	-0.000	0.002	-0.000	0.019	-0.057	0.174	0.097	-0.008	-0.500
0.105	-0.000	0.002	-0.000	0.030	0.071	0.045	0.078	-0.014	-0.500
0.110	-0.000	0.002	-0.000	-0.021	0.066	0.040	0.115	-0.003	-0.500
0.115	-0.000	0.003	-0.000	-0.027	-0.010	0.124	0.114	0.004	-0.500
0.120	-0.000	0.003	-0.000	0.006	0.077	0.014	0.118	0.019	-0.500
0.125	-0.000	0.003	-0.000	-0.027	-0.017	0.141	0.096	0.011	-0.500
0.130	-0.000	0.003	-0.000	0.038	0.012	-0.066	0.115	-0.007	-0.500
0.135	-0.000	0.003	-0.000	-0.050	0.026	0.084	0.133	-0.002	-0.500
0.140	-0.000	0.004	-0.000	0.000	0.010	0.054	0.118	0.005	-0.500
0.145	-0.000	0.004	-0.000	0.150	0.117	-0.004	0.133	0.006	-0.500
0.150	-0.000	0.004	-0.000	-0.096	0.094	0.152	0.118	-0.007	-0.500
0.155	-0.000	0.004	-0.000	-0.011	0.137	-0.029	0.129	-0.005	-0.500
0.160	-0.000	0.005	-0.000	0.027	0.051	0.029	0.160	-0.007	-0.500
0.165	-0.000	0.005	-0.000	0.060	0.027	0.066	0.124	-0.003	-0.500
0.170	-0.000	0.005	-0.000	0.000	0.049	0.131	0.164	0.001	-0.500
0.175	-0.000	0.005	-0.000	-0.076	0.055	0.019	0.133	-0.008	-0.500
0.180	-0.000	0.006	-0.000	0.001	-0.026	-0.015	0.133	0.004	-0.500
0.185	-0.000	0.006	-0.000	0.039	0.056	0.056	0.130	0.007	-0.500
0.190	-0.000	0.006	-0.000	0.079	0.158	0.033	0.145	0.006	-0.500
0.195	-0.000	0.007	-0.000	-0.010	0.054	-0.069	0.169	0.005	-0.500
0.200	-0.000	0.007	-0.000	-0.027	0.055	0.121	0.157	-0.002	-0.500
0.205	-0.000	0.007	-0.000	-0.061	0.047	0.068	0.166	-0.003	-0.500
0.210	-0.000	0.008	-0.000	-0.035	0.017	0.071	0.164	0.007	-0.500
0.215	-0.000	0.008	-0.000	-0.034	0.034	-0.010	0.166	-0.006	-0.500
0.220	-0.000	0.008	-0.000	0.046	-0.008	-0.292	0.192	0.012	-0.500
0.225	-0.000	0.009	-0.000	-0.012	0.020	0.061	0.168	-0.003	-0.500
0.230	-0.000	0.009	-0.000	-0.033	0.041	-0.135	0.188	0.017	-0.500
0.235	-0.000	0.009	-0.000	0.045	0.045	-0.086	0.184	-0.007	-0.500
0.240	-0.000	0.010	-0.000	-0.066	0.037	0.009	0.189	-0.002	-0.500
0.245	-0.000	0.010	-0.000	0.018	0.026	-0.020	0.192	0.017	-0.500
0.250	-0.000	0.011	-0.000	0.074	0.037	-0.108	0.204	-0.012	-0.500
0.255	-0.000	0.011	-0.000	0.034	0.066	0.031	0.209	0.020	-0.500
0.260	0.000	0.011	-0.000	-0.057	0.083	-0.058	0.226	-0.003	-0.500
0.265	0.000	0.012	-0.000	0.022	0.056	0.058	0.252	0.012	-0.500
0.270	0.000	0.012	-0.000	-0.007	0.055	0.145	0.217	-0.008	-0.500
0.275	0.000	0.013	-0.000	0.041	0.042	-0.100	0.213	0.002	-0.500
0.280	0.000	0.013	-0.000	-0.027	0.074	-0.004	0.224	0.006	-0.500
0.285	0.000	0.014	-0.000	-0.026	0.075	0.028	0.257	-0.003	-0.500
0.290	0.000	0.014	-0.000	0.026	0.074	-0.128	0.254	-0.002	-0.500
0.295	0.000	0.014	-0.000	0.013	0.087	0.020	0.245	-0.018	-0.500
0.300	0.000	0.015	-0.000	0.015	0.055	-0.101	0.263	-0.014	-0.500
0.305	0.000	0.015	-0.000	0.035	0.056	-0.040	0.265	0.026	-0.500
0.310	0.000	0.016	-0.000	-0.050	0.041	-0.045	0.279	0.014	-0.500
0.315	0.000	0.016	-0.000	0.041	0.098	-0.044	0.275	-0.011	-0.500
0.320	0.000	0.017	-0.000	-0.004	0.150	-0.026	0.266	-0.024	-0.500
0.325	0.000	0.017	-0.000	-0.052	0.003	0.011	0.285	-0.005	-0.500
0.330	0.000	0.018	-0.000	-0.074	-0.003	-0.069	0.287	-0.004	-0.500
0.335	0.000	0.018	-0.000	0.051	0.168	0.072	0.292	0.003	-0.500
0.340	0.000	0.019	-0.000	-0.078	0.195	0.035	0.336	-0.012	-0.500
0.345	0.000	0.019	-0.000	0.017	0.093	-0.033	0.300	0.009	-0.500
